devittes,sog,faceoff_win_rate,on_keeper_sog_faced,expected_goals_allowed,player,faceoffs_taken,usage_adjusted_EGA,EGA_per_game,shooting_pct,EGA,excess_saves,games_appeared_in,share_of_team_assists,save_pct,turnover_rate,faceoff_EGA,faceoff_wins,team_play_shares,penalties,caused_turnovers,excess_saves_per_sog,goals_allowed,excess_goals_scored,team_ID,assists,goals,offensive_EGA,excess_goals_per_shot,sog_faced,ID,turnovers,team_listed_role,shots_faced,defensive_EGA,faceoff_losses,weighted_team_play_shares,expected_goals_scored,on_keeper_rate_faced,sog_rate,seasons_played,sog_rate_faced,gbs,shots
12.0,37.0,,,,Vince DAlto,0.0,1.6775,3.49116,0.333333,20.947,,6.0,0.26,,0.228332,0.189938,0,0.104058,0.0,5.0,,,-5.38642,5,13.0,17.0,17.6511,-0.105616,,1841,18.0,A,,3.10599,0,0.13404,22.3864,,0.72549,3.0,,13.0,51.0
0.0,1.0,,,,Zach Travaglini,0.0,1.27951,0.0266566,0.0,0.0266566,,1.0,0.0,,0.0,0.0,0,0.00104167,0.0,0.0,,,-0.557853,5,0.0,0.0,0.0266566,-0.557853,,20719,0.0,A,,0.0,0,0.00118611,0.557853,,1.0,1.0,,0.0,1.0
,,,,,Stephen Gaskill III,,,,,,,,,,,,,,,,,,,5,,,,,,20720,,M,,,,,,,,1.0,,,
,,,,,Levi Lemke,,,,,,,,,,,,,,,,,,,5,,,,,,20721,,M,,,,,,,,1.0,,,
0.0,0.0,,,,Matthew Mineo,0.0,5.10098,0.165348,,0.165348,,1.0,0.0,,0.0,0.0,0,0.00162075,0.0,1.0,,,,5,0.0,0.0,0.0,,,2264,0.0,D,,0.165348,0,0.00174871,,,,4.0,,0.0,0.0
-1.0,1.0,,,,Blake Phillips,0.0,-0.00537382,-0.00156736,0.0,-0.00940418,,6.0,0.0,,0.109876,0.0,0,0.0145833,4.0,2.0,,,-0.530478,5,0.0,0.0,-0.138691,-0.530478,,2359,1.0,M,,0.129287,0,0.0175657,0.530478,,1.0,4.0,,6.0,1.0
-1.0,0.0,,,,Michael Gottlieb,0.0,-7.9367,-0.165348,,-0.165348,,1.0,0.0,,1.70856,0.0,0,0.00104167,0.0,0.0,,,,5,0.0,0.0,-0.165348,,,1847,1.0,M,,0.0,0,0.00112962,,,,3.0,,0.0,0.0
0.0,0.0,,,,Jason Child,0.0,0.41432,0.025895,,0.0517901,,2.0,0.0,,0.0,0.189938,0,0.003125,1.0,0.0,,,,5,0.0,0.0,0.0,,,16198,0.0,A,,-0.138148,0,0.00395369,,,,2.0,,2.0,0.0
25.0,32.0,,,,Timmy Ley,0.0,2.39133,3.8321,0.301887,22.9926,,6.0,0.26,,0.0640252,0.189938,0,0.0801249,0.0,1.0,,,-7.02144,5,13.0,16.0,21.6877,-0.13248,,1843,4.0,A,,1.11504,0,0.106228,23.0214,,0.603774,4.0,,6.0,53.0
1.0,1.0,,,,Will Carson,0.0,0.667313,0.250243,1.0,1.50146,,6.0,0.0,,0.0,0.0,0,0.01875,5.0,3.0,,,0.442147,5,0.0,1.0,1.02248,0.442147,,1854,0.0,D,,0.478977,0,0.0229314,0.557853,,1.0,4.0,,9.0,1.0
,,,,,Alex Gainey,,,,,,,,,,,,,,,,,,,5,,,,,,16210,,G,,,,,,,,2.0,,,
-3.0,0.0,,,,Jimmy O'Connell,0.0,0.365507,0.0533032,0.0,0.213213,,4.0,0.02,,0.823405,0.0,0,0.00729167,0.0,0.0,,,-0.353032,5,1.0,0.0,0.0232747,-0.353032,,20722,4.0,A,,0.189938,0,0.00937588,0.353032,,0.0,1.0,,1.0,1.0
0.0,0.0,,,,Mike DiIorio,0.0,-17.1254,-0.356779,,-0.356779,,1.0,0.0,,0.0,0.0,0,0.00104167,1.0,0.0,,,,5,0.0,0.0,0.0,,,16199,0.0,M,,-0.356779,0,0.00112962,,,,2.0,,0.0,0.0
0.0,0.0,,,,John Marshall,0.0,9.13105,0.19023,0.0,0.19023,,1.0,0.0,,0.0,0.0,0,0.00104167,0.0,0.0,,,-0.364254,5,0.0,0.0,0.19023,-0.364254,,16214,0.0,D,,0.0,0,0.00118611,0.364254,,0.0,2.0,,0.0,1.0
3.0,11.0,,,,Christian Quadrino,0.0,1.96273,1.30849,0.4,7.85094,,6.0,0.04,,0.334544,0.0,0,0.0333333,0.0,0.0,,,-0.341214,5,2.0,8.0,7.28112,-0.0170607,,16200,7.0,A,,0.569814,0,0.0403841,8.34121,,0.55,2.0,,3.0,20.0
0.0,0.0,,2.0,1.15875,Will Barnes,0.0,-0.374474,-0.0312061,,-0.0624123,1.15875,2.0,0.0,1.0,0.0,0.0,0,0.00416667,0.0,0.0,0.579376,0.0,,5,0.0,0.0,0.0,,3.0,20723,0.0,G,3.0,-0.0533131,0,0.00237221,,,,1.0,0.3333,0.0,0.0
-1.0,0.0,,,,Trey Brown,0.0,0.886943,0.18478,0.0,0.923899,,5.0,0.0,,0.154621,0.569814,0,0.0104167,1.0,3.0,,,-0.450606,5,0.0,0.0,0.0248824,-0.450606,,20724,1.0,D,,0.329203,0,0.0124823,0.450606,,0.0,1.0,,4.0,1.0
0.0,0.0,,,,Robert Gallop,0.0,-2.29717,-0.0957154,,-0.191431,,2.0,0.0,,0.0,0.0,0,0.00208333,1.0,1.0,,,,5,0.0,0.0,0.0,,,1850,0.0,M,,-0.191431,0,0.00225925,,,,3.0,,0.0,0.0
-1.0,0.0,,,,Christian Brofft,0.0,-7.9367,-0.165348,,-0.165348,,1.0,0.0,,1.70856,0.0,0,0.00104167,0.0,0.0,,,,5,0.0,0.0,-0.165348,,,16215,1.0,M,,0.0,0,0.00112962,,,,2.0,,0.0,0.0
,,,,,Brendan Wilcox,,,,,,,,,,,,,,,,,,,5,,,,,,16202,,A,,,,,,,,2.0,,,
0.0,7.0,,,,Matt Hilburn,0.0,1.71021,0.641328,0.444444,3.20664,,5.0,0.02,,0.428212,0.0,0,0.01875,0.0,1.0,,,-0.288157,5,1.0,4.0,2.66141,-0.0320175,,1845,5.0,A,,0.545224,0,0.022536,4.28816,,0.777778,4.0,,2.0,9.0
-1.0,0.0,,,,Tim Barrett,0.0,-8.02572,-0.167203,,-0.167203,,1.0,0.0,,1.70856,0.0,0,0.00104167,0.0,0.0,,,,5,0.0,0.0,-0.167203,,,16203,1.0,D,,0.0,0,0.00112962,,,,2.0,,0.0,0.0
0.0,0.0,,,,Matt Caccese,0.0,-1.95286,-0.081369,,-0.162738,,2.0,0.0,,0.0,0.0,0,0.00208333,1.0,1.0,,,,5,0.0,0.0,0.0,,,20725,0.0,D,,-0.162738,0,0.00225925,,,,1.0,,0.0,0.0
0.0,1.0,,,,Reilly Sullivan,0.0,1.27951,0.0266566,0.0,0.0266566,,1.0,0.0,,0.0,0.0,0,0.00104167,0.0,0.0,,,-0.509063,5,0.0,0.0,0.0266566,-0.509063,,16204,0.0,M,,0.0,0,0.00118611,0.509063,,1.0,2.0,,0.0,1.0
0.0,0.0,1.0,,,Benjamin Ferrara,2.0,8.41177,0.35049,,0.35049,,1.0,0.0,,0.0,0.35049,2,0.00208333,0.0,0.0,,,,5,0.0,0.0,0.0,,,20726,0.0,M,,0.0,0,0.000564812,,,,1.0,,0.0,0.0
,,,,,Mario Hemann,,,,,,,,,,,,,,,,,,,5,,,,,,16205,,G,,,,,,,,2.0,,,
,,,,,Harry Friedman,,,,,,,,,,,,,,,,,,,5,,,,,,16207,,M,,,,,,,,2.0,,,
-3.0,0.0,,125.0,55.972,Matt Garber,0.0,0.00330744,0.00688333,,0.0413,7.97198,6.0,0.0,0.616,0.151457,0.189938,0,0.104058,0.0,2.0,0.0637758,48.0,,5,0.0,0.0,-0.497898,,132.0,2143,3.0,G,132.0,0.367459,0,0.0336793,,,,4.0,0.6377,12.0,0.0
13.0,22.0,,,,Jake Cates,0.0,2.63457,2.9608,0.470588,17.7648,,6.0,0.1,,0.193825,0.0,0,0.0561915,1.0,0.0,,,0.22332,5,5.0,16.0,16.9533,0.00656824,,1837,8.0,M,,0.811542,0,0.0701794,15.7767,,0.647059,4.0,,6.0,34.0
-3.0,1.0,,,,Donnie Howard,0.0,0.612218,0.255091,0.0,1.53054,,6.0,0.0,,0.230887,0.569814,0,0.0208333,2.0,3.0,,,-1.6524,5,0.0,0.0,0.228554,-0.4131,,2266,3.0,M,,0.732176,0,0.0250777,1.6524,,0.25,3.0,,8.0,4.0
,,,,,Ben Girolamo,,,,,,,,,,,,,,,,,,,5,,,,,,2265,,A,,,,,,,,4.0,,,
,,,,,DJ Batton,,,,,,,,,,,,,,,,,,,5,,,,,,20727,,A,,,,,,,,1.0,,,
-1.0,0.0,0.5,,,Dane DeGoler,0.0,1.33598,0.612326,,3.67395,,6.0,0.0,,0.066352,0.189938,0,0.0229167,0.0,6.0,,,,5,0.0,0.0,-0.167203,,,16208,1.0,D,,3.65122,0,0.0290878,,,,2.0,,15.0,0.0
0.0,0.0,,,,Walker Ker,0.0,4.55851,0.189938,,0.379876,,2.0,0.0,,0.0,0.189938,0,0.00208333,0.0,0.0,,,,5,0.0,0.0,0.0,,,16209,0.0,D,,0.189938,0,0.00282406,,,,2.0,,2.0,0.0
,,,,,Max Gomez,,,,,,,,,,,,,,,,,,,5,,,,,,16211,,G,,,,,,,,2.0,,,
0.0,9.0,,,,Tommy Bourque,0.0,1.54496,0.965599,0.222222,5.79359,,6.0,0.02,,0.25966,0.0,0,0.03125,0.0,2.0,,,-3.27094,5,1.0,4.0,4.70315,-0.181719,,16212,5.0,A,,1.09045,0,0.0371646,7.27094,,0.5,2.0,,4.0,18.0
-2.0,1.0,,,,Roy Meyer,1.0,1.17738,1.32318,0.333333,7.93907,,6.0,0.02,,0.0998008,1.12493,1,0.0561915,2.0,19.0,,,-0.205039,5,1.0,1.0,0.748569,-0.0683464,,1844,4.0,D,,6.06557,0,0.0681485,1.20504,,0.333333,3.0,,24.0,3.0
