status,league,pregame_home_wp,away_ID,traversals_70_30,tension_game_score,home_ID,elo_transfer,home_score,game_date,away_score,ID
scheduled,NCAA D1 Men,0.565182,45,,,68,,,2022-04-02,,10192
scheduled,NCAA D1 Men,0.469932,2,,,68,,,2022-04-09,,10193
scheduled,NCAA D1 Men,0.0550513,68,,,19,,,2022-04-16,,10194
scheduled,NCAA D1 Men,0.881433,56,,,68,,,2022-04-23,,10195
completedFromNCAA,NCAA D1 Men,0.391901,28,0,141.0,39,35.279,12,2022-02-11,18,10196
completedFromNCAA,NCAA D1 Men,0.392311,18,1,44.0,28,8.405,11,2022-02-19,10,10197
completedFromNCAA,NCAA D1 Men,0.631765,28,0,129.0,35,9.854,15,2022-02-27,10,10198
completedFromNCAA,NCAA D1 Men,0.754182,28,0,163.0,11,7.895,19,2022-03-05,8,10199
scheduled,NCAA D1 Men,0.532107,42,,,28,,,2022-03-13,,10200
scheduled,NCAA D1 Men,0.574194,21,,,28,,,2022-03-18,,10201
scheduled,NCAA D1 Men,0.544416,31,,,28,,,2022-03-26,,10202
scheduled,NCAA D1 Men,0.735742,28,,,6,,,2022-04-03,,10203
scheduled,NCAA D1 Men,0.570758,28,,,29,,,2022-04-10,,10204
scheduled,NCAA D1 Men,0.564319,30,,,28,,,2022-04-16,,10205
scheduled,NCAA D1 Men,0.123131,3,,,28,,,2022-04-23,,10206
completedFromNCAA,NCAA D1 Men,0.754029,18,0,128.0,3,8.156,20,2022-02-12,8,10207
completedFromNCAA,NCAA D1 Men,0.390303,6,1,60.0,18,12.549,12,2022-02-26,13,10208
completedFromNCAA,NCAA D1 Men,0.788762,39,0,81.0,18,40.144,8,2022-03-02,11,10209
completedFromNCAA,NCAA D1 Men,0.0702595,18,1,94.0,25,13.678,12,2022-03-05,14,10210
scheduled,NCAA D1 Men,0.274301,37,,,18,,,2022-03-12,,10211
scheduled,NCAA D1 Men,0.416607,33,,,18,,,2022-03-26,,10212
scheduled,NCAA D1 Men,0.149341,18,,,20,,,2022-04-02,,10213
scheduled,NCAA D1 Men,0.373459,18,,,21,,,2022-04-09,,10214
scheduled,NCAA D1 Men,0.527084,5,,,18,,,2022-04-16,,10215
scheduled,NCAA D1 Men,0.166567,18,,,54,,,2022-04-23,,10216
scheduled,NCAA D1 Men,0.525351,46,,,18,,,2022-04-29,,10217
scheduled,NCAA D1 Men,0.419997,63,,,47,,,2022-03-19,,10218
scheduled,NCAA D1 Men,0.582684,47,,,85,,,2022-03-26,,10219
scheduled,NCAA D1 Men,0.487321,17,,,47,,,2022-04-02,,10220
scheduled,NCAA D1 Men,0.341489,47,,,70,,,2022-04-09,,10221
scheduled,NCAA D1 Men,0.338166,34,,,47,,,2022-04-16,,10222
scheduled,NCAA D1 Men,0.623312,47,,,48,,,2022-04-22,,10223
completedFromNCAA,NCAA D1 Men,0.778125,34,1,113.0,6,3.849,13,2022-02-09,10,10224
completedFromNCAA,NCAA D1 Men,0.648252,34,0,155.0,2,13.96,18,2022-02-19,4,10225
scheduled,NCAA D1 Men,0.583626,85,,,34,,,2022-03-19,,10226
scheduled,NCAA D1 Men,0.790534,70,,,34,,,2022-03-26,,10227
scheduled,NCAA D1 Men,0.413699,34,,,63,,,2022-04-02,,10228
scheduled,NCAA D1 Men,0.834247,34,,,41,,,2022-04-05,,10229
scheduled,NCAA D1 Men,0.931498,26,,,34,,,2022-04-12,,10230
scheduled,NCAA D1 Men,0.349611,34,,,17,,,2022-04-23,,10231
scheduled,NCAA D1 Men,0.541864,48,,,34,,,2022-04-30,,10232
completedFromNCAA,NCAA D1 Men,0.541515,84,0,52.0,16,14.427,11,2022-02-26,12,10233
completedFromNCAA,NCAA D1 Men,0.390609,31,1,77.0,16,19.895,10,2022-03-01,12,10234
scheduled,NCAA D1 Men,0.65368,16,,,36,,,2022-03-19,,10235
scheduled,NCAA D1 Men,0.525002,9,,,16,,,2022-04-02,,10236
scheduled,NCAA D1 Men,0.186929,16,,,4,,,2022-04-09,,10237
scheduled,NCAA D1 Men,0.208848,1,,,16,,,2022-04-12,,10238
scheduled,NCAA D1 Men,0.232429,22,,,16,,,2022-04-23,,10239
completedFromNCAA,NCAA D1 Men,0.804987,56,1,174.0,21,5.658,15,2022-02-12,5,10240
completedFromNCAA,NCAA D1 Men,0.694522,56,1,78.0,67,27.222,9,2022-02-19,11,10241
pending,NCAA D1 Men,0.168366,36,,,56,,,2022-03-05,,10242
scheduled,NCAA D1 Men,0.681534,56,,,69,,,2022-03-10,,10243
scheduled,NCAA D1 Men,0.245306,56,,,59,,,2022-03-12,,10244
scheduled,NCAA D1 Men,0.73058,56,,,84,,,2022-03-26,,10245
scheduled,NCAA D1 Men,0.302211,56,,,19,,,2022-04-02,,10246
scheduled,NCAA D1 Men,0.893452,56,,,2,,,2022-04-16,,10247
scheduled,NCAA D1 Men,0.148824,45,,,56,,,2022-04-30,,10248
completedFromNCAA,NCAA D1 Men,0.0262932,46,1,109.0,26,19.391,5,2022-02-12,10,10249
completedFromNCAA,NCAA D1 Men,0.939563,26,1,167.0,32,1.515,17,2022-02-19,4,10250
live,NCAA D1 Men,0.981251,26,,,33,,,2022-02-26,,10251
completedFromNCAA,NCAA D1 Men,0.62013,26,1,88.0,59,6.317,7,2022-03-05,5,10252
scheduled,NCAA D1 Men,0.0800195,48,,,26,,,2022-03-12,,10253
scheduled,NCAA D1 Men,0.977845,26,,,38,,,2022-03-19,,10254
scheduled,NCAA D1 Men,0.250805,57,,,26,,,2022-03-26,,10255
scheduled,NCAA D1 Men,0.966385,26,,,8,,,2022-04-09,,10256
